time,command,strain1,strain2
4.291534423828125e-05,0.0,0.865,0.776
0.0012519359588623047,0.0004,0.863,0.781
0.003345966339111328,0.0008,0.86,0.779
0.005502939224243164,0.0012000000000000001,0.75,0.659
0.0076007843017578125,0.0016,0.743,0.659
0.009471893310546875,0.002,0.75,0.659
0.011236906051635742,0.0024000000000000002,0.743,0.66
0.013244867324829102,0.0028,0.74,0.658
0.015250921249389648,0.0032,0.748,0.66
0.01683783531188965,0.0036000000000000003,0.743,0.657
0.01794600486755371,0.004,0.743,0.659
0.018906831741333008,0.0044,0.743,0.66
0.02018594741821289,0.0048000000000000004,0.743,0.658
0.02225780487060547,0.005200000000000001,0.748,0.66
0.024124860763549805,0.0056,0.743,0.659
0.025813817977905273,0.006,0.745,0.662
0.0268399715423584,0.0064,0.748,0.659
0.027933835983276367,0.0068000000000000005,0.74,0.66
0.02890181541442871,0.007200000000000001,0.748,0.663
0.029910802841186523,0.0076,0.745,0.66
0.030911922454833984,0.008,0.74,0.66
0.03191494941711426,0.008400000000000001,0.74,0.662
0.03291487693786621,0.0088,0.748,0.662
0.03389692306518555,0.0092,0.745,0.659
0.03493189811706543,0.009600000000000001,0.743,0.658
0.03606986999511719,0.01,0.745,0.662
0.03709292411804199,0.010400000000000001,0.74,0.659
0.03788399696350098,0.0108,0.74,0.659
0.03890490531921387,0.0112,0.745,0.662
0.039906978607177734,0.011600000000000001,0.743,0.662
0.040879011154174805,0.012,0.743,0.659
0.04187893867492676,0.012400000000000001,0.745,0.66
0.042877912521362305,0.0128,0.748,0.662
0.045007944107055664,0.0132,0.745,0.662
0.04588484764099121,0.013600000000000001,0.743,0.66
0.046881914138793945,0.014,0.745,0.662
0.047853946685791016,0.014400000000000001,0.743,0.662
0.048828840255737305,0.0148,0.74,0.662
0.0502009391784668,0.0152,0.745,0.662
0.05222487449645996,0.015600000000000001,0.743,0.66
0.05409693717956543,0.016,0.738,0.659
0.05608081817626953,0.0164,0.745,0.662
0.057794809341430664,0.016800000000000002,0.743,0.659
0.0588688850402832,0.0172,0.74,0.662
0.05989980697631836,0.0176,0.74,0.658
0.06087684631347656,0.018000000000000002,0.745,0.66
0.06189084053039551,0.0184,0.745,0.662
0.06287693977355957,0.0188,0.74,0.66
0.06387686729431152,0.019200000000000002,0.745,0.662
0.0648798942565918,0.0196,0.74,0.662
0.06588292121887207,0.02,0.74,0.662
0.06691288948059082,0.0204,0.753,0.663
0.06791281700134277,0.020800000000000003,0.75,0.662
0.06888079643249512,0.0212,0.748,0.662
0.06986880302429199,0.0216,0.745,0.662
0.0708918571472168,0.022000000000000002,0.745,0.662
